total_return_pct,sharpe,profit_factor,win_rate,max_dd_pct,trade_count,final_equity,sl_range_mult,tp_range_mult,trail_pct,breakeven_R,partial_tp,min_signals,C_enter,rolling_wr_filter
-16.571,-0.1853,0.673,34.48,26.273,29,41.7146,0.3,0.8,0.2,999.0,False,5,0.6,True
182.484,0.0905,1.235,38.86,28.407,368,141.242,0.3,0.8,0.2,999.0,False,5,0.6,False
-24.188,-0.0394,0.917,57.32,48.15,314,37.9062,0.3,0.8,0.3,0.7,True,3,0.5,True
-24.188,-0.0394,0.917,57.32,48.15,314,37.9062,0.3,0.8,0.3,0.7,True,3,0.5,False
-18.888,-0.029,0.938,57.59,46.78,323,40.5558,0.3,0.8,0.3,0.7,True,3,0.55,True
-18.888,-0.029,0.938,57.59,46.78,323,40.5558,0.3,0.8,0.3,0.7,True,3,0.55,False
-27.442,-0.045,0.907,56.63,46.688,309,36.2791,0.3,0.8,0.3,0.7,True,3,0.6,True
-27.442,-0.045,0.907,56.63,46.688,309,36.2791,0.3,0.8,0.3,0.7,True,3,0.6,False
64.437,0.0595,1.139,60.14,28.659,419,82.2183,0.3,0.8,0.3,0.7,True,4,0.5,True
64.437,0.0595,1.139,60.14,28.659,419,82.2183,0.3,0.8,0.3,0.7,True,4,0.5,False
78.35,0.0676,1.16,60.87,30.885,437,89.1748,0.3,0.8,0.3,0.7,True,4,0.55,True
78.35,0.0676,1.16,60.87,30.885,437,89.1748,0.3,0.8,0.3,0.7,True,4,0.55,False
77.486,0.0669,1.158,60.82,29.278,439,88.7428,0.3,0.8,0.3,0.7,True,4,0.6,True
77.486,0.0669,1.158,60.82,29.278,439,88.7428,0.3,0.8,0.3,0.7,True,4,0.6,False
-10.852,-0.0139,0.97,56.85,33.749,343,44.5742,0.3,0.8,0.3,0.7,True,5,0.5,True
-10.852,-0.0139,0.97,56.85,33.749,343,44.5742,0.3,0.8,0.3,0.7,True,5,0.5,False
-16.207,-0.0207,0.956,56.64,42.757,339,41.8965,0.3,0.8,0.3,0.7,True,5,0.55,True
-16.207,-0.0207,0.956,56.64,42.757,339,41.8965,0.3,0.8,0.3,0.7,True,5,0.55,False
-16.207,-0.0207,0.956,56.64,42.757,339,41.8965,0.3,0.8,0.3,0.7,True,5,0.6,True
-16.207,-0.0207,0.956,56.64,42.757,339,41.8965,0.3,0.8,0.3,0.7,True,5,0.6,False
-11.881,-0.0712,0.849,36.0,26.03,50,44.0596,0.3,0.8,0.3,0.7,False,3,0.5,True
193.615,0.1137,1.313,42.48,28.194,339,146.8075,0.3,0.8,0.3,0.7,False,3,0.5,False
-5.366,-0.0304,0.932,37.25,24.064,51,47.3168,0.3,0.8,0.3,0.7,False,3,0.55,True
261.909,0.137,1.389,43.06,24.064,353,180.9545,0.3,0.8,0.3,0.7,False,3,0.55,False
-23.81,-0.1805,0.665,34.09,25.129,44,38.0952,0.3,0.8,0.3,0.7,False,3,0.6,True
70.337,0.0683,1.174,40.39,28.635,255,85.1683,0.3,0.8,0.3,0.7,False,3,0.6,False
61.817,0.1382,1.384,43.88,17.633,98,80.9085,0.3,0.8,0.3,0.7,False,4,0.5,True
430.528,0.1423,1.403,42.36,17.633,432,265.264,0.3,0.8,0.3,0.7,False,4,0.5,False
39.151,0.0988,1.262,43.96,21.015,91,69.5756,0.3,0.8,0.3,0.7,False,4,0.55,True
337.81,0.1276,1.356,41.79,21.956,414,218.9049,0.3,0.8,0.3,0.7,False,4,0.55,False
39.151,0.0988,1.262,43.96,21.015,91,69.5756,0.3,0.8,0.3,0.7,False,4,0.6,True
141.469,0.1225,1.335,41.07,21.956,224,120.7344,0.3,0.8,0.3,0.7,False,4,0.6,False
-19.711,-0.2341,0.604,36.67,26.079,30,40.1443,0.3,0.8,0.3,0.7,False,5,0.5,True
130.945,0.0785,1.202,39.88,33.223,341,115.4727,0.3,0.8,0.3,0.7,False,5,0.5,False
-20.134,-0.244,0.595,34.48,26.468,29,39.9332,0.3,0.8,0.3,0.7,False,5,0.55,True
101.043,0.0667,1.17,39.13,27.757,322,100.5217,0.3,0.8,0.3,0.7,False,5,0.55,False
-20.134,-0.244,0.595,34.48,26.468,29,39.9332,0.3,0.8,0.3,0.7,False,5,0.6,True
101.043,0.0667,1.17,39.13,27.757,322,100.5217,0.3,0.8,0.3,0.7,False,5,0.6,False
-22.54,-0.0367,0.923,55.27,47.227,313,38.7301,0.3,0.8,0.3,1.0,True,3,0.5,True
-22.54,-0.0367,0.923,55.27,47.227,313,38.7301,0.3,0.8,0.3,1.0,True,3,0.5,False
-20.183,-0.0316,0.933,55.49,47.451,319,39.9087,0.3,0.8,0.3,1.0,True,3,0.55,True
-20.183,-0.0316,0.933,55.49,47.451,319,39.9087,0.3,0.8,0.3,1.0,True,3,0.55,False
-28.57,-0.0474,0.902,54.58,47.223,306,35.7148,0.3,0.8,0.3,1.0,True,3,0.6,True
-28.57,-0.0474,0.902,54.58,47.223,306,35.7148,0.3,0.8,0.3,1.0,True,3,0.6,False
39.107,0.0375,1.085,58.13,28.57,406,69.5535,0.3,0.8,0.3,1.0,True,4,0.5,True
39.107,0.0375,1.085,58.13,28.57,406,69.5535,0.3,0.8,0.3,1.0,True,4,0.5,False
79.121,0.0684,1.162,60.09,30.612,436,89.5607,0.3,0.8,0.3,1.0,True,4,0.55,True
79.121,0.0684,1.162,60.09,30.612,436,89.5607,0.3,0.8,0.3,1.0,True,4,0.55,False
78.377,0.0678,1.16,59.82,29.12,438,89.1886,0.3,0.8,0.3,1.0,True,4,0.6,True
78.377,0.0678,1.16,59.82,29.12,438,89.1886,0.3,0.8,0.3,1.0,True,4,0.6,False
-10.632,-0.0136,0.971,56.56,33.749,343,44.6841,0.3,0.8,0.3,1.0,True,5,0.5,True
-10.632,-0.0136,0.971,56.56,33.749,343,44.6841,0.3,0.8,0.3,1.0,True,5,0.5,False
-15.155,-0.0279,0.941,55.84,30.955,231,42.4226,0.3,0.8,0.3,1.0,True,5,0.55,True
-19.299,-0.025,0.947,55.95,45.109,336,40.3505,0.3,0.8,0.3,1.0,True,5,0.55,False
-15.155,-0.0279,0.941,55.84,30.955,231,42.4226,0.3,0.8,0.3,1.0,True,5,0.6,True
-19.299,-0.025,0.947,55.95,45.109,336,40.3505,0.3,0.8,0.3,1.0,True,5,0.6,False
-20.765,-0.4087,0.405,20.0,20.765,20,39.6174,0.3,0.8,0.3,1.0,False,3,0.5,True
170.9,0.1052,1.287,39.58,27.116,336,135.45,0.3,0.8,0.3,1.0,False,3,0.5,False
-20.765,-0.4087,0.405,20.0,20.765,20,39.6174,0.3,0.8,0.3,1.0,False,3,0.55,True
