timestamp,equity,daily_pnl,drawdown,daily_loss_R,trades,wins,losses,win_rate,vol_regime,latency_ema
1770214090536,1000,0.0,0.0,0.0,0,0,0,0.0,normal,50.1
1770234660906,1000,0.0,0.0,0.0,0,0,0,0.0,normal,148.3
1770236179120,1000,0.0,0.0,0.0,0,0,0,0.0,normal,98.0
1770241056088,1000,0.0,0.0,0.0,0,0,0,0.0,normal,73.4
1770241867079,1000,0.0,0.0,0.0,0,0,0,0.0,normal,32.3
1770242123710,1000,0.0,0.0,0.0,0,0,0,0.0,normal,135.7
1770288315130,1000,0.0,0.0,0.0,0,0,0,0.0,normal,73.7
1770288524214,1000,0.0,0.0,0.0,0,0,0,0.0,normal,66.8
1770288730592,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,66.4
1770288802412,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,192.5
1770288940440,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,168.1
1770290096221,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,246.8
1770290543111,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,284.9
1770292417266,1000,0.0,0.0,0.0,0,0,0,0.0,normal,237.3
1770292896085,1000,0.0,0.0,0.0,0,0,0,0.0,normal,7.5
1770297247190,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,63.6
1770297354768,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,43.1
1770297843181,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,31.2
1770299864858,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,21.3
1770300728996,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,97.1
1770305024602,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,40.5
1770305405864,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,38.7
1770307155614,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,59.3
1770307814308,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,72.6
1770308086073,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,321.8
1770308395442,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,246.4
1770308754267,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,321.1
1770309378338,100.0,0.0,0.0,0.0,0,0,0,0.0,normal,28.0
1770309678343,100.0,0.0,0.0,0.0,0,0,0,0.0,low,73.5
